Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
HUNTWOOD TERRACE,1986,1.88,-122.05965,37.626025,86042,8.604192
ICON AT PARK,2007,2.29,-122.2871285,37.830822,267727,26.772693
INDIAN CREEK,1990,3.18,-122.249472,37.5393199, , 
IRON HORSE,1973,2.6,-122.055463,37.9335257,107166,10.71662
IRONHORSE TRAIL,2002,2.48,-121.910126,37.70883,75367,7.536672
IRONWOOD,1971,2.18,-121.7264499,37.6813632,32168,3.216783
IVY HILL APARTMENTS,2002,3.58,-122.063484,37.893836,94386,9.43862
JACKSON ARMS,1964,1.72,-122.092876,37.6562442,103992,10.399167
JACKSON LAKE,1960,2.29,-122.2645319,37.8035762,246153,24.615344
KELLY GREEN,1979,1.82,-122.0587386,37.6841515,77923,7.792316
KENSINGTON APARTMENTS,2003,2.76,-121.8945,37.6564,53251,5.325067
KENTWOOD,1956,1.65,-122.1106244,37.6970333,97334,9.733366
KINGSTON PLACE,1961,1.75,-122.0620694,37.9295555,109144,10.914367
KIRKER CREEK,1988,1.78,-121.8952314,37.9935359,22545,2.254548
KONA,1972,1.6,-122.337017,37.962289,57060,5.705997
LA SALLE MANOR,1976,1.57,-122.1277937,38.0040762,57420,5.741962
LA TERRAZZA,2005,2.73,-122.463672,37.682763, , 
LA VINA APARTMENTS,1994,2.4,-121.7384823,37.6811811,34052,3.40522
LAFAYETTE HIGHLANDS,1973,2.4,-122.100685,37.895121,73082,7.308241
LAKE PARK APARTMENTS,1965,1.86,-122.263124,37.803737,245014,24.501443
LAKE SHORE,1968,1.64,-122.036914,37.970103,100401,10.04008
LAKE VIEW TOWERS,1964,2.96,-122.257438,37.796766,226137,22.613706
LAKES,1968,1.38,-122.0354024,37.970139,99534,9.953397
LAKESHORE,1989,1.37,-121.79499,38.011418,23527,2.352685
LAKESHORE LANDING,1985,3.59,-122.285836,37.548528, , 
LAKESIDE,1962,1.32,-122.0332941,37.9688965,100222,10.022201
LAKESIDE VILLAGE,1970,1.47,-122.134658,37.69164,105135,10.513519
LAKEVIEW,1969,2.28,-121.9914359,37.5450138,77737,7.773707
LAKEVIEW GARDEN,1966,2.02,-122.3300007,37.5823918, , 
LAMPLIGHTER,1964,1.87,-122.388025,37.5926037, , 
LANAI GARDEN,1970,1.34,-122.1004357,37.6796891,101093,10.10932
LANDING AT JACK LONDON SQUARE (THE),2000,2.9,-122.2715111,37.7925834,215727,21.572745
LANDS END,1972,3.66,-122.4927333,37.6551011, , 
LANTERN COVE,1985,3.01,-122.2731327,37.5349295, , 
LAS VENTANAS,1973,2.17,-121.863012,37.663122,53398,5.339837
LEANDRO GREENS,1971,1.37,-122.1101724,37.6978489,96422,9.642208
LEISURE TERRACE,1970,1.71,-122.068564,37.675268,88273,8.827292
LIBRARY GARDENS,2007,3.86,-122.270164,37.868211,204007,20.400712
LIME RIDGE,1983,1.75,-122.0258523,37.9620369,93646,9.364583
LINCOLN ARMS,1960,1.3,-122.0198621,37.9734379,91532,9.153238
LINCOLN GLEN,1974,2.01,-121.9759773,37.5388057,78047,7.804684
LIVERMORE GARDENS,1976,1.73,-121.722517,37.68001,31950,3.194974
LORENZO COMMONS,1970,2.37,-122.125109,37.676222,108704,10.870403
LOS PRADOS,1985,1.63,-121.8642269,38.0081754,25380,2.53798
LOTUS,1964,1.54,-122.1304339,37.9947742,62065,6.206532
LUND GARDEN,1986,1.66,-122.0802726,37.6497784,93669,9.366909
MADISON BELMONT,1969,2.63,-122.2787349,37.5242311, , 
MADISON PLACE APARTMENTS,1964,2.67,-122.29098,37.543099, , 
MAJESTIC APARTMENTS,1961,1.74,-122.068035,37.654868,92251,9.225063
MARBAYA APARTMENT HOMES,1969,2.87,-122.0221994,37.5662623,80863,8.086264
MARINA BREEZE,1963,1.91,-122.176415,37.697875,95496,9.549553
MARINA CREEK,1964,1.16,-121.823784,38.013183,25277,2.527749
MARINA HEIGHTS,1972,1.3,-121.8852062,38.0365248,18894,1.889412
MARINE VIEW,1965,2.07,-122.2797406,37.7706738,170751,17.075065
MARLIN COVE,2002,3.09,-122.257377,37.554555, , 
MARTINEZ HILLSIDE APARTMENTS,1984,1.54,-122.134646,38.001117,54358,5.435819
